Sample_ID	Tree_genotype	Tree_provenance_pop	Tree_provenance_fam	Sampling_timepoint	Raw_reads	Filtered	Denoised	Merged	Non_chimeric	Non_mito_chlor	Non_syn_comm	No_unassigned	Final_reads_per_sample
GC1-7128-T2-ITS	7128	GC	GC1	T2	466271	409465	408816	401128	397713	350624	350624	350564	350564
GC1-7294-T2-ITS	7294	GC	GC1	T2	247916	210467	210137	208734	207895	172386	172386	172374	172374
GC1-7368-T2-ITS	7368	GC	GC1	T2	292622	253952	253680	247193	245464	199710	199710	199710	199710
GC2-7078-T2-ITS	7078	GC	GC2	T2	275572	236372	236148	231189	229910	189889	189889	189889	189889
GC2-7136-T2-ITS	7136	GC	GC2	T2	314133	272932	272477	271199	269179	238160	238160	238121	238121
GC2-7276-T2-ITS	7276	GC	GC2	T2	366840	297570	297114	295653	293548	247328	247328	247288	247288
GC2-7507-T2-ITS	7507	GC	GC2	T2	229712	200502	200239	197086	195399	144504	144504	144473	144473
GC5-7089-T2-ITS	7089	GC	GC5	T2	310547	272566	272181	269346	268054	219943	219943	219925	219925
GC5-7178-T2-ITS	7178	GC	GC5	T2	579807	507303	506544	502813	497240	433734	433734	433669	433669
GC5-7457-T2-ITS	7457	GC	GC5	T2	311527	278065	277355	269745	268113	232036	232036	232036	232036
GC8-7367-T2-ITS	7367	GC	GC8	T2	385770	350306	349841	340161	337462	282483	282483	282457	282457
GC8-7377-T2-ITS	7377	GC	GC8	T2	190968	172242	172039	168653	166714	115326	115326	115326	115326
GC8-7501-T2-ITS	7501	GC	GC8	T2	241722	206780	206299	205282	202379	177444	177444	177444	177444
GC8-7582-T2-ITS	7582	GC	GC8	T2	284402	238903	238522	236741	234675	180480	180480	180437	180437
GC9-7100-T2-ITS	7100	GC	GC9	T2	267068	232205	231792	230699	229051	175446	175446	175399	175399
GC9-7275-T2-ITS	7275	GC	GC9	T2	296906	250019	249413	247589	245957	197117	197117	196856	196856
GC9-7537-T2-ITS	7537	GC	GC9	T2	489154	433946	433320	422054	418866	368525	368525	368503	368503
GC9-7589-T2-ITS	7589	GC	GC9	T2	390065	346623	346248	339903	335190	294437	294437	294432	294432
GE1-7087-T2-ITS	7087	GE	GE1	T2	369724	323872	323519	322395	320216	252105	251710	251701	251701
GE1-7112-T2-ITS	7112	GE	GE1	T2	333055	280805	280547	273979	271641	214171	214171	214041	214041
GE1-7638-T2-ITS	7638	GE	GE1	T2	375306	334859	334508	322837	318497	237579	237579	237565	237565
GE1-7647-T2-ITS	7647	GE	GE1	T2	325351	277286	276633	275115	273003	242499	242499	242428	242428
GE2-7383-T2-ITS	7383	GE	GE2	T2	130945	110096	109906	107517	106252	86561	86561	86520	86520
GE2-7483-T2-ITS	7483	GE	GE2	T2	293605	249869	249458	248544	247332	192714	192714	192685	192685
GE2-7530-T2-ITS	7530	GE	GE2	T2	254858	215822	215390	214303	212658	175337	175337	175309	175309
GE2-7555-T2-ITS	7555	GE	GE2	T2	300422	246106	245803	240312	237734	193423	193423	193398	193398
GE6-7040-T2-ITS	7040	GE	GE6	T2	177061	151880	151509	150772	149378	115106	115106	115106	115106
GE6-7186-T2-ITS	7186	GE	GE6	T2	244754	209653	209162	207080	205262	171850	171850	171842	171842
GE6-7205-T2-ITS	7205	GE	GE6	T2	177649	158133	157711	152789	151335	128190	128190	128185	128185
GE6-7213-T2-ITS	7213	GE	GE6	T2	325622	280280	279720	275469	273492	232507	232507	232252	232252
GE7-7423-T2-ITS	7423	GE	GE7	T2	242837	211302	210888	209972	208778	181151	181151	181138	181138
GE7-7427-T2-ITS	7427	GE	GE7	T2	296964	264861	264508	258943	255447	194604	194604	194604	194604
GE7-7575-T2-ITS	7575	GE	GE7	T2	460475	414753	414399	404769	400887	310089	310089	310089	310089
GE7-7658-T2-ITS	7658	GE	GE7	T2	122468	104208	103954	103466	102994	79188	79188	79179	79179
GE8-7242-T2-ITS	7242	GE	GE8	T2	202861	174406	174136	173170	172332	159670	159670	159657	159657
GE8-7333-T2-ITS	7333	GE	GE8	T2	322922	281298	280933	278164	276472	245775	245775	245746	245746
GE8-7645-T2-ITS	7645	GE	GE8	T2	206053	180439	180135	174773	173053	117376	117376	117341	117341
GE9-7002-T2-ITS	7002	GE	GE9	T2	744109	641511	640792	637886	633263	471662	471662	471216	471216
GE9-7053-T2-ITS	7053	GE	GE9	T2	335069	290716	290224	287838	285832	197755	197755	197755	197755
GE9-7272-T2-ITS	7272	GE	GE9	T2	521407	433375	433027	418168	415232	297343	297343	297343	297343
GE9-7480-T2-ITS	7480	GE	GE9	T2	313943	276695	276296	272152	269760	229100	229100	229027	229027
GT1-7236-T2-ITS	7236	GT	GT1	T2	325265	289442	289215	279525	275190	197128	197128	197123	197123
GT1-7384-T2-ITS	7384	GT	GT1	T2	357434	306380	305973	298644	292687	244601	244601	244513	244513
GT1-7407-T2-ITS	7407	GT	GT1	T2	381545	330388	329774	327568	324440	292694	292690	292673	292673
GT1-7482-T2-ITS	7482	GT	GT1	T2	487756	425324	424807	421251	418161	369506	369506	369492	369492
GT2-7200-T2-ITS	7200	GT	GT2	T2	252828	218065	217665	216579	215372	155559	155559	155519	155519
GT2-7210-T2-ITS	7210	GT	GT2	T2	342111	295950	295614	293733	290659	246476	246476	246458	246458
GT2-7297-T2-ITS	7297	GT	GT2	T2	442412	397639	397036	389735	387046	303611	303611	303603	303603
GT2-7573-T2-ITS	7573	GT	GT2	T2	420361	335938	335513	328662	325866	239036	239036	238967	238967
GT5-7107-T2-ITS	7107	GT	GT5	T2	251587	223391	223137	219016	216930	180016	180016	180016	180016
GT5-7253-T2-ITS	7253	GT	GT5	T2	416233	369751	369280	357411	353100	272732	272732	272722	272722
GT5-7309-T2-ITS	7309	GT	GT5	T2	323090	262643	262076	260817	257905	215183	215183	215098	215098
GT5-7456-T2-ITS	7456	GT	GT5	T2	240448	208389	207885	203564	202475	157266	157266	156898	156898
GT6-7349-T2-ITS	7349	GT	GT6	T2	352238	313458	312945	302424	296603	271873	271873	271846	271846
GT6-7486-T2-ITS	7486	GT	GT6	T2	182548	159981	159770	158984	157732	130073	130073	130048	130048
GT6-7595-T2-ITS	7595	GT	GT6	T2	215895	185079	184712	183411	182476	140574	140574	140538	140538
GT6-7618-T2-ITS	7618	GT	GT6	T2	353138	317055	316479	307161	302489	240175	240175	240121	240121
GT8-7009-T2-ITS	7009	GT	GT8	T2	386099	347618	347106	342237	337967	295575	295575	295564	295564
GT8-7254-T2-ITS	7254	GT	GT8	T2	300597	274276	274031	269420	267987	225647	225647	225647	225647
GT8-7341-T2-ITS	7341	GT	GT8	T2	211883	179260	179003	177874	176080	140913	140904	140895	140895
GT8-7420-T2-ITS	7420	GT	GT8	T2	311616	264037	263608	261064	258295	195864	195864	195829	195829
RM1-7145-T2-ITS	7145	RM	RM1	T2	313901	265059	264681	259389	257997	206555	206555	206534	206534
RM1-7391-T2-ITS	7391	RM	RM1	T2	311711	267415	267102	263814	262226	215569	215569	215569	215569
RM1-7523-T2-ITS	7523	RM	RM1	T2	242283	217904	217697	213376	212313	158593	158593	158593	158593
RM1-7665-T2-ITS	7665	RM	RM1	T2	594008	527652	527052	513075	509444	441043	441037	440915	440915
